"date","candidate","name","sources","isretweeted","length","favorites","retweets","economy","security","covid19","healthcare","education","race","gun","crime","abortion","immigration","climate","foreign","taxes","deficit","china","russia","fakenews","info","trust","anger","anticipation","joy","negative","positive","sadness","surprise","fear","disgust"
2020-10-27 21:38:09,"Biden","downforthejava","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:10,"Biden","OliverRPayne","Android",FALSE,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
2020-10-27 21:38:14,"Biden","uscitizenpod","Web",FALSE,140,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2020-10-27 21:38:15,"Biden","meredith413","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:16,"Biden","alan_poirier","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:18,"Biden","Bella2169Molina","Web",TRUE,140,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2020-10-27 21:38:19,"Biden","ProudAmericanP2","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:20,"Biden","Trev68914969","Web",TRUE,140,0,2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2020-10-27 21:38:23,"Biden","simmyzx","Android",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:25,"Biden","realchadstenzel","Android",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:26,"Biden","88j0e88","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:29,"Biden","EmmGifts","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:29,"Biden","UndrgrndRlroad1","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:37,"Biden","EconMan3","others",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:43,"Biden","NickLima7","Web",TRUE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2020-10-27 21:38:46,"Biden","AMS0035","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:38:47,"Biden","LotusLawyers","others",FALSE,127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-10-27 21:39:19,"Biden","KlagsbrunTO","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:39:36,"Biden","BobLewisOfRVA","iPhone",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
2020-10-27 21:39:38,"Biden","CATNAPPER2020","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:39:50,"Biden","RepDonBeyer","Web",TRUE,140,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-10-27 21:40:01,"Biden","EpochTimes","others",FALSE,139,159,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2020-10-27 21:40:03,"Biden","len_hubbard","Android",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:40:04,"Biden","unitedflygirl","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:40:05,"Biden","Tarleton_exe","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:40:06,"Biden","JacksonPackson1","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:40:07,"Biden","beatsbypeppa","iPhone",FALSE,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2020-10-27 21:40:28,"Biden","EmeryThrash","Android",TRUE,140,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2020-10-27 21:40:38,"Biden","Andrs34603025","Android",TRUE,140,0,2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2020-10-27 21:40:45,"Biden","lucyethss","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:40:46,"Biden","DncVictim","iPhone",TRUE,140,0,2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2020-10-27 21:40:48,"Biden","jerrymills","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:40:50,"Biden","DSmykal","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:40:52,"Biden","kidsilkhaze","Web",TRUE,140,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-10-27 21:40:59,"Biden","seanmdav","Web",TRUE,140,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
